ean,termo_mercado_livre
"7898324009228,""Pilha Alcalina Antifurto AA Pequena Blister 2uni OUROLUX"""
"7898324009235,""Pilha Alcalina Antifurto AA Pequena Blister Com 4uni OUROLUX"""
"7897751902737,""SABONETE LIQUIDO FARNESE POUCH AROMA ERVA DOCE 220mL"""
"7896007942541,""ROLO DE PAPEL ALUMINIO FIAT LUX 30CM X 4M"""
"7896280835165,""ISQUEIRO GRANDE CLASSIC CRICKET - ORIGINAL"""
"7896005219966,""BISCOITO SOL LEVINHOS SALGADINHO CHURRASCO - LEVINHO'S - UNIDADES 50 G"""
"7896183306243,""LIMPADOR CONCENTRADO ESSENCES SANOL BABY 120ML"""
"7896314724724,""LIMPADOR CONCENTRADO CITRONELA (12X1) - 140ML"""
"7891030300290,""LEITE CONDENSADO MOCOCA EMBALAGEM ECONOMICA 2.5KG"""
"7896311763498,""CREATINA INTEGMED 150G HARDCORE"""
"7896005213926,""FERMENTO BIOL�GICO DONA BENTA - DONA BENTA - CAIXAS 66 UNIDADES"""
"7896110010489,""PANO MULTIUSO WIPER WPS60 PROCLEAN BRANCO - SANNO - PACOTES 100 FOLHAS"""
"7898650401161,""BEBIDA MISTA A�AI + GUARANA LINDOYA - GENUINA LINDOYA - GARRAFAS PET 200 ML"""
"7896007921713,""VELA NR 3 DE 12G - FIAT LUX - PACOTES 8 UNIDADES"""
"7896843200317,""BEBIDA 390ML LIMONADA SUI�A"""
"7898474841518,""CO TOK BOTHANICO 1.9L OLEO ARGAN"""
"7896183315689,""BLOCO SANITARIO PARA CAIXA ACOPLADA MARINE 2UN SANOL"""
"7896021627004,""DETERGENTE LIMPPANO BIODEGRADAVEL 500ML COCO"""
"7896009301209,""ATUM PEDA�OS EM �LEO - COQUEIRO - SACH�S 480 G"""
